RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Oirschot;G0823;10225;Noord-Brabant;P30;8601;7240;17;;7223;4228;1638;698;417;149;1;7;3;16;29;19;4;4;;3;2;1;;4;;;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;13799;11493;37;;11456;4937;3250;1804;845;405;7;32;17;73;25;39;9;;2;5;4;1;;1;;;;;;
Oldebroek;G0269;11106;Gelderland;P25;15132;13070;50;;13020;4887;2685;920;397;124;1963;412;1550;35;2;10;6;3;7;10;5;1;;3;;;;;;
Oldehove;G0035;10298;Groningen;P20;1715;1546;3;;1543;540;361;201;81;40;6;257;40;1;3;3;1;;3;5;1;;;;;;;;;
Oldekerk;G0036;11332;Groningen;P20;1775;1561;0;;1561;737;392;209;78;28;12;78;17;1;;3;1;;;5;;;;;;;;;;
Oldenzaal;G0173;11100;Overijssel;P23;21828;19184;55;;19129;9678;5395;1845;1369;505;7;48;29;90;44;47;14;15;3;5;7;7;21;;;;;;;
Olst;G0174;10409;Overijssel;P23;6886;6059;10;;6049;2306;2147;998;342;142;36;18;11;14;4;16;2;;3;3;5;;1;1;;;;;;
Ommen;G0175;11069;Overijssel;P23;13049;12083;27;;12056;6547;2057;1209;593;198;76;1136;168;24;2;17;6;8;;7;6;2;;;;;;;;
Onderbanken;G0881;10492;Limburg;P31;6237;5166;28;;5138;2493;1825;298;231;138;10;12;11;35;23;26;8;13;3;5;4;3;;;;;;;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;3601;3110;12;;3098;1997;554;283;157;88;2;1;;5;2;5;1;1;;;1;1;;;;;;;;
Oostburg;G0692;10782;Zeeland;P29;13967;11288;35;;11253;3725;4054;2209;571;237;165;91;82;37;2;32;16;;9;12;5;4;;2;;;;;;
Oosterbroek;G0033;11282;Groningen;P20;3788;3394;5;;3389;443;2016;447;181;146;2;90;11;14;5;9;2;;10;11;1;;;1;;;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;3650;3342;14;;3328;976;1344;549;181;81;11;87;67;10;7;6;1;;2;3;;;;3;;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;35694;28032;73;;27959;10121;9672;4323;2481;633;32;64;69;205;58;198;42;;11;13;17;12;;8;;;;;;
Oostflakkee;G0580;10714;Zuid-Holland;P28;7131;6097;13;;6084;1998;2131;627;284;104;694;55;109;42;5;15;7;2;2;2;3;3;;1;;;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;18690;16135;58;;16077;4318;7415;2138;890;634;69;325;126;40;8;65;11;;8;17;8;5;;;;;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;5785;4846;22;;4824;892;1805;1012;477;448;27;9;47;54;4;18;10;1;11;1;2;4;2;;;;;;;
Ootmarsum;G0176;11079;Overijssel;P23;3227;3092;6;;3086;2066;488;293;148;56;3;5;3;4;3;5;2;6;;1;1;;2;;;;;;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;5526;4872;15;;4857;3102;954;349;201;193;;6;2;6;10;17;5;1;1;2;6;1;;1;;;;;;
Opmeer;G0432;10609;Noord-Holland;P27;7267;6302;13;;6289;3289;1231;1043;416;216;10;14;17;18;;18;8;3;;2;1;;3;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;19521;17203;64;;17139;4305;7811;2084;959;715;75;789;237;30;10;46;11;;52;10;2;3;;;;;;;;
Oss;G0828;10834;Noord-Brabant;P30;37166;28912;68;;28844;10858;8538;3205;2019;745;22;55;50;152;3029;44;41;31;6;14;27;3;;5;;;;;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;3789;2783;18;;2765;1183;867;381;203;67;5;6;3;25;2;13;3;;;7;;;;;;;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;6171;4620;18;;4602;2182;1533;499;204;101;3;1;3;46;7;8;8;;;;3;2;;2;;;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;14688;12270;41;;12229;3612;3088;2220;1214;326;1211;133;235;105;10;37;9;14;1;5;4;4;;1;;;;;;
Oude Pekela;G0038;10848;Groningen;P20;6259;5421;16;;5405;683;3553;286;169;530;25;32;33;13;15;8;1;;47;2;6;1;;1;;;;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;9019;6942;35;;6907;2962;2269;886;468;162;11;21;5;69;6;19;14;;4;3;4;4;;;;;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9259;7741;24;;7717;2747;1670;1809;892;283;72;28;30;105;5;32;10;8;8;9;2;1;3;1;;2;;;;
Ouderkerk;G0644;10095;Zuid-Holland;P28;5986;5153;12;;5141;1543;1254;852;328;88;838;74;109;32;3;13;2;1;1;;2;1;;;;;;;;
Oudewater;G0589;10188;Utrecht;P26;6985;6075;23;;6052;3329;911;862;360;142;248;62;71;40;1;10;2;5;1;5;2;;;;;;1;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;20366;16875;44;;16831;4993;5237;2909;1604;502;720;181;463;120;29;33;12;2;6;11;7;2;;;;;;;;
Peize;G0124;10501;Drenthe;P22;3801;3303;17;;3286;419;1588;691;392;127;7;8;12;21;3;5;4;;2;6;;1;;;;;;;;
Pijnacker;G0594;10031;Zuid-Holland;P28;12599;11064;25;;11039;5457;1638;2002;1044;294;258;126;56;96;5;28;15;10;3;4;2;1;;;;;;;;
Posterholt;G0956;10456;Limburg;P31;3279;2488;10;;2478;1132;899;214;109;73;6;7;3;12;2;5;4;7;2;;;3;;;;;;;;
Prinsenbeek;G0832;11354;Noord-Brabant;P30;7839;6501;14;;6487;3130;1476;1151;511;103;5;13;14;40;3;16;14;;4;3;4;;;;;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;42656;32897;126;;32771;6787;12273;7102;3771;1591;32;77;160;493;81;136;83;41;76;19;15;8;17;9;;;;;;
Putte;G0833;10099;Noord-Brabant;P30;2463;1708;9;;1699;601;507;368;131;37;1;2;4;20;1;12;9;;3;2;1;;;;;;;;;
